,mag_attr_x,mag_attr_y,mag_attr_z,mic_attr_db,acc_attr_x,acc_attr_y,acc_attr_z,activity
45,-14.21,-42.749,5.123,50.9821014732548,-0.24241292,10.176555,-1.033098,jumping
46,-14.21,-42.749,5.123,39.6360646094729,-0.22445641,10.185533,-1.0235212,jumping
47,-14.21,-42.749,5.123,55.3828337200418,-0.22744916,10.131663,-1.0121487,jumping
48,-14.21,-42.749,5.123,39.7915658436783,-0.19153613,10.234015,-1.0708067,jumping
49,-14.21,-42.749,5.123,60.6384288091541,-0.17357962,10.248381,-1.0851719,jumping
50,-14.21,-42.749,5.123,36.6756964272735,-0.17537527,10.213066,-0.9947908,jumping
51,-14.21,-42.749,5.123,48.6784266043459,-0.11312603,10.1161,-0.9427169,jumping
52,-14.21,-42.749,5.123,57.1669776094797,-0.06584055,10.029909,-0.93852705,jumping
53,-14.21,-42.749,5.123,49.6731334943331,-0.0724246,10.022727,-1.0217255,jumping
54,-14.21,-42.749,5.123,32.4379084932355,-0.15143326,9.940127,-1.0540473,jumping
55,-14.21,-42.749,5.123,45.8032972576108,-0.1400608,9.907207,-1.0324994,jumping
56,-14.21,-42.749,5.123,59.222156227644,-0.05746084,10.088568,-1.0546459,jumping
57,-14.21,-42.749,5.123,38.0803004902851,0.07062895,10.259753,-0.9756372,jumping
58,-14.21,-42.749,5.123,50.5385456537495,0.22744916,10.43034,-0.908001,jumping
59,-14.537,-42.749,5.123,49.1804379507129,0.2896984,10.423157,-0.83497787,jumping
60,-14.537,-42.749,5.123,36.1552337528226,0.16160862,10.275913,-0.8631097,jumping
61,-14.537,-42.749,5.123,64.4877180188945,-0.19512744,10.061034,-0.94211835,jumping
62,-14.868,-42.749,5.123,51.4752801826032,-0.6769605,9.74859,-1.0426749,jumping
63,-14.868,-42.749,5.123,63.3023396156168,-1.0456676,9.565434,-1.1695676,jumping
64,-14.868,-42.749,5.123,61.8852206612305,-1.1013328,9.54209,-1.276708,jumping
65,-15.284,-42.749,4.786,53.4787072533668,-1.0313023,9.474455,-1.359308,jumping
66,-15.284,-42.749,4.786,43.6042813114639,-0.86849666,9.24102,-1.3359646,jumping
67,-15.629,-42.749,4.786,45.5328291725615,-0.61530983,8.994417,-1.2862848,jumping
68,-15.629,-42.749,4.786,56.4890428527482,-0.42556936,8.731653,-1.0528502,jumping
69,-16.242,-42.427,4.437,65.6564756205903,-0.17298107,8.625112,-0.78170687,jumping
70,-16.242,-42.427,4.437,49.1013713826093,0.12509704,8.798691,-0.694917,jumping
71,-16.711,-42.427,4.437,64.9621581641384,0.3573346,9.0554695,-0.6015432,jumping
72,-16.711,-42.427,4.081,60.1510587419396,0.65301853,9.41041,-0.5129577,jumping
73,-16.711,-42.097,4.081,67.983331640636,1.0552444,9.84795,-0.39803603,jumping
74,-16.711,-42.097,4.081,60.0149867948991,1.5939398,10.109517,-0.2112883,jumping
75,-16.711,-42.097,3.619,60.7469278488757,1.8722657,10.160992,0.08738836,jumping
76,-17.088,-42.097,3.308,66.5583289910472,2.0260932,10.473435,0.05746084,jumping
77,-17.088,-42.097,2.455,42.6007991217264,2.2224178,12.023681,-0.034117375,jumping
78,-17.088,-41.72,0.901,50.1174571127236,2.6521769,14.352042,0.034715924,jumping
79,-17.436,-41.72,0.271,63.7410423981478,3.1729157,16.46672,0.9379285,jumping
80,-17.436,-41.72,-0.607,59.6162311143343,2.5486276,18.938135,0.8319851,jumping
81,-17.436,-41.72,-1.155,51.0017861723388,0.8888474,19.608511,0.4902128,jumping
82,-17.739,-41.416,-1.155,57.8768276448358,0.47405192,19.608511,-0.14903906,jumping
83,-17.739,-41.416,-1.155,60.3270211646669,0.60453594,19.397821,-0.5847838,jumping
84,-17.739,-41.416,-1.155,33.4320577226765,0.7248446,18.170195,-0.017357962,jumping
85,-17.739,-41.416,-1.155,52.5656736290927,1.168969,15.037382,0.23403321,jumping
86,-18.107,-41.07,-1.155,56.538848079991,1.1025299,11.6352215,0.6607997,jumping
87,-18.107,-41.07,-1.635,61.4567534473183,0.6440403,8.300098,1.1097125,jumping
88,-18.107,-41.07,-2.264,62.1961570654659,0.4285621,5.3061495,0.7194576,jumping
89,-18.107,-41.07,-2.264,65.7080201631219,0.18435353,2.3894134,-0.09636662,jumping
90,-18.533,-40.708,-2.264,32.2477444041437,-0.4237737,-0.8631097,0.11372458,jumping
91,-18.533,-40.708,-2.264,50.4294424471698,-0.6793547,-3.3087866,0.5081693,jumping
92,-18.533,-40.708,-2.264,57.8065590386004,-0.3321955,-3.1136594,-0.2741361,jumping
93,-18.533,-40.708,-2.264,41.6280496082438,0.17357962,-0.95109665,-0.90500826,jumping
94,-18.533,-40.708,-2.264,47.8963278897417,0.362123,0.85891986,-0.9139865,jumping
95,-18.533,-40.708,-2.264,52.899715329622,0.41240123,1.4131776,-0.06404489,jumping
96,-18.533,-40.708,-2.264,50.1830940777145,0.65421563,1.4275428,0.6985083,jumping
97,-17.294,-40.708,-2.264,53.0264981721397,1.0402806,1.8968062,1.3245921,jumping
98,-14.945,-40.708,-2.264,56.7802622554064,1.5747862,4.5681367,1.1324574,jumping
99,-13.619,-40.708,-2.264,51.9079957881085,4.281431,16.795324,-2.4199393,jumping
100,-12.927,-41.577,-2.264,31.4185507310111,-0.7613561,17.650654,-1.8166006,jumping
101,-12.927,-42.108,-2.264,62.910856315353,-2.717419,15.417461,3.7122097,jumping
102,-13.302,-42.108,-2.264,58.0016430314731,-2.9861681,18.718468,0.31783026,jumping
103,-13.302,-42.108,-2.264,53.0398425759969,-5.3408656,19.284098,-0.59376204,jumping
104,-14.343,-42.108,-2.264,64.6075735083833,-3.7654808,19.608511,-1.42455,jumping
105,-14.723,-42.108,-2.264,47.0813300431419,-2.066196,19.608511,-0.96785605,jumping
106,-15.199,-42.108,-0.642,50.085511503982,-0.61171854,19.608511,0.3812766,jumping
107,-15.591,-42.108,0.758,39.1953187862819,0.47764325,19.608511,1.0049661,jumping
108,-16.035,-42.108,2.061,64.4627081055573,-0.30705637,17.208923,0.6823475,jumping
109,-16.711,-42.108,3.407,34.8469666585312,-1.7274165,13.699023,-0.14544775,jumping
110,-17.117,-42.108,3.407,28.3862770178856,-1.9303252,10.038289,-0.04129998,jumping
111,-17.117,-42.108,3.715,45.7246181018064,-0.5746084,6.443994,-0.04189853,jumping
112,-17.538,-42.108,3.715,37.0576766796146,0.8810662,3.0621839,-0.24540567,jumping
113,-17.893,-42.108,3.715,48.7871476928469,1.8136078,0.05207389,0.22625206,jumping
114,-17.893,-42.414,3.715,45.4613485050333,2.0691888,-2.4187422,1.0372878,jumping
115,-17.893,-42.414,3.268,53.1813532044674,1.7621324,-3.1370027,1.4796166,jumping
116,-17.158,-42.414,3.77,55.7380738064229,1.4987702,-1.8201919,0.89064306,jumping
117,-16.613,-42.414,3.421,43.8849651178013,1.353921,0.34835634,-0.21547815,jumping
118,-15.997,-42.414,2.903,52.8973348929782,1.3533225,1.3479356,-0.45190558,jumping
119,-15.196,-42.414,2.268,56.3758344713488,1.3623008,2.666542,-0.24480712,jumping
120,-14.138,-42.414,2.268,31.4049363822192,1.2264298,3.117849,0.61291564,jumping
121,-13.084,-42.414,2.268,50.9898826166255,1.252766,4.362834,1.2354081,jumping
122,-12.336,-42.414,2.268,36.5805760374907,2.2888567,10.918159,-0.24959552,jumping
123,-12.336,-42.414,2.268,53.8079158796309,1.5753847,19.593548,-4.69084,jumping
124,-12.336,-42.414,2.268,70.3932012004884,-2.2625206,18.643648,0.39384618,jumping
125,-13.288,-42.414,2.268,57.3930031952938,-4.4436383,19.608511,-0.06404489,jumping
126,-13.856,-42.414,2.639,44.1571189402003,-8.42759,19.608511,-2.1859062,jumping
127,-14.608,-42.414,3.059,55.8254761974687,-6.4805055,19.608511,-2.9993362,jumping
128,-15.132,-42.414,3.059,59.6019186295696,-2.6599581,19.608511,-1.8423382,jumping
129,-15.132,-42.414,3.059,56.2210022190522,0.8206126,18.87469,-0.23642741,jumping
130,-15.942,-42.414,3.489,61.4241090964156,2.814384,14.730925,0.49081135,jumping
131,-15.942,-42.414,3.489,56.0176895918843,2.7162218,10.776301,0.587178,jumping
132,-16.642,-42.414,3.489,39.4191039176741,1.1623849,7.15986,0.7248446,jumping
133,-17.308,-42.414,2.752,60.9060060126315,0.0724246,4.0803185,0.80445176,jumping
134,-18.467,-42.414,3.186,52.9816696391992,-0.3776853,1.2838906,0.55964464,jumping
135,-18.467,-42.414,3.186,33.2012830076358,-0.16938977,-1.4856021,0.7691373,jumping
136,-19.085,-42.414,2.864,54.9899244725598,0.7116765,-3.0753522,1.2473791,jumping
137,-19.085,-42.414,2.864,44.019739986734,1.6783354,-2.255338,0.7206547,jumping
138,-18.376,-42.018,2.438,57.1776519371705,1.8914193,-0.19153613,-0.09696517,jumping
139,-17.7,-42.018,2.438,30.3677966044272,1.520318,1.3760674,-0.60812724,jumping
140,-17.07,-42.018,1.991,68.1240559995387,0.7272388,1.8070238,-0.4902128,jumping
141,-15.954,-42.018,1.991,36.7055937394246,0.011372458,1.8938135,0.35793316,jumping
142,-14.692,-42.018,1.625,47.7125994759435,-0.3561375,3.4763808,0.6703765,jumping
143,-14.019,-42.018,1.625,65.3904826052197,0.56982,10.940305,-1.3605051,jumping
144,-14.019,-42.018,1.625,34.6800873683311,0.9888053,19.608511,-6.3099184,jumping
145,-14.019,-42.018,1.625,47.2322357647476,-3.6601357,19.160797,0.6087258,jumping
146,-14.62,-42.018,2.062,44.3019995401044,-4.03004,19.608511,1.3557167,jumping
147,-15.069,-42.018,2.062,25.8946120904164,-4.0282445,19.608511,-0.842759,jumping
148,-15.556,-42.018,2.484,42.4112977074682,-1.3024458,19.608511,-2.0135236,jumping
0,-14.785,-39.517,2.996,14.4000024834202,0.020949265,10.128671,-0.9475053,running
1,-14.785,-39.517,2.996,22.0828947449506,0.09636662,10.101137,-0.92535895,running
2,-14.785,-39.517,2.996,16.157350382091,0.12330139,10.113108,-0.9672575,running
3,-14.785,-39.517,2.996,15.9133551096335,0.12449849,10.173561,-1.0187328,running
4,-14.785,-39.517,2.996,16.4125907687276,0.077811554,10.1621895,-1.0031705,running
5,-14.785,-39.517,2.996,15.3803866202816,0.012569559,10.150218,-0.96665895,running
6,-14.785,-39.517,2.996,35.6210508794442,-0.024540568,10.171167,-0.9708488,running
7,-14.785,-39.517,2.996,65.4906301773959,-0.037708677,10.174759,-0.9959879,running
8,-14.785,-39.517,2.996,48.9261461115215,0.0005985504,10.144233,-0.99060094,running
9,-14.785,-39.517,2.996,45.7997519661159,0.008379706,10.107721,-0.9696517,running
10,-14.785,-39.517,2.996,61.1244612034375,0.060453594,10.104729,-0.97862995,running
11,-14.785,-39.517,2.996,56.6228155116389,0.0712275,10.126875,-0.9672575,running
12,-14.785,-39.517,2.996,45.8391846547269,0.08439561,10.143036,-0.96187055,running
13,-14.785,-39.517,2.996,38.5711650333575,0.05626374,10.131663,-0.9780314,running
14,-14.785,-39.517,2.996,54.9523810603806,0.050876785,10.150218,-0.9672575,running
15,-14.785,-39.517,2.996,54.152763174486,-0.006584055,10.111911,-0.97025025,running
16,-14.785,-39.517,2.996,60.234110382874,-0.034715924,10.095152,-1.009156,running
17,-14.785,-39.517,2.996,59.8545211050743,-0.076614454,10.12448,-1.0235212,running
18,-14.785,-39.517,2.996,57.8236988664765,-0.05865794,10.120291,-1.0342951,running
19,-14.785,-39.517,2.996,41.132800456948,0.025139118,10.114903,-1.0079589,running
20,-14.785,-39.517,2.996,51.3989733324703,0.1364695,10.144831,-0.9648633,running
21,-14.785,-39.517,2.996,54.9374550756949,0.19812019,10.151415,-0.96546185,running
22,-14.785,-39.517,2.996,50.5105432960422,0.24181437,10.117298,-0.97503865,running
23,-14.785,-39.517,2.996,58.1852011513702,0.24361002,10.1065235,-0.9744401,running
24,-14.785,-39.517,2.996,55.1376761984995,0.18315643,10.131663,-0.99658644,running
25,-14.785,-39.517,2.996,53.7024692328092,0.08259996,10.14543,-1.0199299,running
26,-14.785,-39.517,2.996,46.2067419436651,-0.046686932,10.1304655,-1.0366893,running
27,-14.785,-39.517,2.996,41.8337847201424,-0.13227965,10.120889,-1.0588357,running
28,-14.785,-39.517,2.996,40.3238943446846,-0.1604115,10.148422,-1.1043255,running
29,-14.785,-39.517,2.996,38.6950017574633,-0.14305355,10.152613,-1.1109096,running
30,-14.785,-39.517,2.996,43.4454532989969,-0.078410104,10.21127,-1.0959458,running
31,-14.785,-39.517,2.996,40.9155129863037,-0.036511578,10.199299,-1.0253168,running
32,-14.785,-39.517,2.996,49.9355359367032,0.017956512,10.1382475,-0.985214,running
33,-14.785,-39.517,2.996,57.7141184216681,0.08678981,10.140641,-1.0307038,running
34,-14.785,-39.517,2.996,52.0633549269902,0.02633622,10.1861315,-1.06123,running
35,-14.785,-39.517,2.996,55.6435384924425,0.04309563,10.114903,-0.95827925,running
36,-14.785,-39.517,2.996,54.7272898250267,0.12808979,10.08318,-0.9959879,running
37,-14.785,-39.517,2.996,55.3767879639702,0.18136078,10.092757,-1.0851719,running
38,-14.785,-39.517,2.996,55.8078850199337,0.19512744,10.142437,-1.0815806,running
39,-14.785,-39.517,2.996,46.9447711873968,0.15023616,10.1699705,-1.0043676,running
40,-14.785,-39.517,2.996,67.0312841679941,0.091578215,10.151415,-1.0121487,running
41,-14.785,-39.517,2.996,65.6504295365977,0.059855044,10.189124,-1.0516531,running
42,-14.785,-39.517,2.996,51.0476171277396,0.04129998,10.180145,-1.0414777,running
43,-14.785,-39.517,2.996,43.5689508458627,0.060453594,10.146626,-1.0360907,running
44,-14.785,-39.517,2.996,41.4980730412802,0.024540568,10.089166,-1.0390835,running
45,-14.785,-39.517,2.996,59.8722961951007,0.037110128,10.110115,-1.0971429,running
46,-14.785,-39.517,2.996,55.8115326338833,0.023942016,10.128072,-1.0534488,running
47,-14.785,-39.517,2.996,52.026049869539,0.047285482,10.104729,-1.0097545,running
48,-14.785,-39.517,2.996,53.9290390295773,0.076015905,10.086173,-1.0031705,running
49,-14.785,-39.517,2.996,52.8791362177497,0.11192893,10.102334,-1.0115502,running
50,-14.785,-39.517,2.996,58.9754131775054,0.11851298,10.129269,-1.0444705,running
51,-14.471,-39.517,2.996,51.0919091402935,0.11911154,10.143634,-1.0522517,running
52,-14.471,-39.517,2.996,60.8864329994424,0.08080431,10.159196,-1.0199299,running
53,-14.471,-39.517,2.996,44.4214051706576,0.03172317,10.139444,-1.0007763,running
54,-14.471,-39.517,3.311,66.997642495365,0.029927522,10.136452,-1.0109516,running
55,-14.471,-39.517,3.311,60.0813573535583,0.046686932,10.126276,-1.0498575,running
56,-14.471,-39.517,3.311,62.772158294208,0.048482586,10.105327,-1.06123,running
57,-14.471,-39.517,3.311,47.5867050716497,0.0664391,10.080188,-1.0468647,running
58,-14.471,-39.517,3.311,45.8448569810799,0.10055647,10.113707,-1.0247183,running
59,-14.471,-39.517,3.311,42.1621844518022,0.093373865,10.152613,-1.0199299,running
60,-14.471,-39.517,3.311,38.938368590494,0.10534488,10.173561,-1.0289081,running
61,-14.471,-39.517,3.311,36.98203427978,0.11492168,10.161591,-1.0259154,running
62,-14.471,-39.517,3.311,47.8326814641355,0.08499416,10.142437,-0.99419224,running
63,-14.471,-39.517,3.311,50.0675325068075,0.0700304,10.117896,-0.98581254,running
64,-14.471,-39.517,3.311,52.3995363981296,0.06584055,10.125079,-1.0079589,running
65,-14.471,-39.517,3.311,50.498234063401,0.089782566,10.1161,-1.0145429,running
66,-14.471,-39.517,3.311,49.4155412476649,0.093972415,10.105327,-0.997185,running
67,-14.471,-39.517,3.311,56.4797692596629,0.11731588,10.129269,-0.98222125,running
68,-14.471,-39.517,3.311,52.7089895747084,0.12210429,10.141838,-0.9816227,running
69,-14.471,-39.517,3.311,61.5422642644896,0.09636662,10.12448,-0.9840169,running
70,-14.471,-39.517,3.311,52.9336289659887,0.08798691,10.093954,-1.0187328,running
71,-14.471,-39.517,3.311,48.5093987422945,0.078410104,10.105327,-1.0007763,running
72,-14.471,-39.517,3.311,54.0658519208263,0.075417355,10.123882,-1.0007763,running
73,-14.158,-39.517,3.311,51.7282800669729,0.074220255,10.119094,-1.0019734,running
74,-14.158,-39.517,3.311,44.9952461000498,0.10654198,10.1304655,-0.99060094,running
75,-14.158,-39.517,3.311,44.9395785672531,0.11312603,10.1304655,-0.98341835,running
76,-14.158,-39.517,3.311,52.370857354919,0.093972415,10.172963,-1.0049661,running
77,-14.158,-39.517,3.311,56.5622917043858,0.037708677,10.159795,-0.9876082,running
78,-14.158,-39.517,3.311,65.6028298097516,0.0053869537,10.150218,-0.9828198,running
79,-14.158,-39.517,3.311,64.2519561105676,-0.01316811,10.144831,-1.0067618,running
80,-14.158,-39.517,3.311,67.4793186006268,-0.0724246,10.133459,-0.9648633,running
81,-14.158,-39.517,3.311,66.9210793895926,0.024540568,10.052056,-0.9235633,running
82,-14.158,-39.517,3.311,64.7330823935381,0.110731825,10.061034,-0.9564836,running
83,-14.158,-39.517,3.311,66.9176497428483,0.19812019,10.11251,-1.049259,running
84,-14.158,-39.517,3.311,58.0295639272882,0.17896658,10.116699,-1.0354922,running
85,-14.158,-39.517,3.311,66.564105078819,0.142455,10.140641,-0.9487024,running
86,-14.158,-39.517,3.311,43.9127713943883,0.06404489,10.156203,-0.9295488,running
87,-14.158,-39.517,3.311,40.972237003585,0.020350715,10.184336,-1.0067618,running
88,-14.158,-39.517,3.311,56.4115683473696,-0.010773907,10.190321,-1.0414777,running
89,-14.158,-39.517,3.311,57.5713392053114,-0.0035913025,10.132261,-1.0283096,running
90,-14.158,-39.517,3.311,59.0715042197486,0.022146367,10.089765,-1.0348936,running
91,-14.158,-39.517,3.311,42.9954069176465,0.024540568,10.14124,-1.0127473,running
92,-14.158,-39.517,3.311,51.0795105267702,0.032920275,10.134656,-0.94690675,running
93,-14.158,-39.517,3.311,59.6854362572015,0.06703765,10.073604,-0.9475053,running
94,-14.158,-39.517,3.311,53.8050145022121,0.10594343,10.09575,-0.98341835,running
95,-14.158,-39.517,3.311,57.1918628354928,0.10534488,10.13705,-1.0253168,running
96,-14.158,-39.517,3.311,41.2974200356778,0.08379706,10.157999,-1.01574,running
97,-14.158,-39.517,3.311,53.7240933374402,0.023343466,10.1161,-0.99898064,running
98,-14.158,-39.517,3.311,53.6678413116967,-0.02932897,10.127473,-0.96905315,running
99,-14.158,-39.517,3.311,56.9139092709692,-0.07182605,10.15381,-1.0259154,running
100,-14.158,-39.517,3.311,48.5636084514048,-0.050278235,10.129868,-1.0498575,running
101,-14.158,-39.517,3.311,58.0410749806593,0.008379706,10.101137,-1.0313023,running
102,-14.158,-39.517,3.311,62.8915114443016,0.04249708,10.096349,-1.0139444,running
103,-14.158,-39.517,3.311,66.534491188726,0.08080431,10.126875,-1.0079589,running
104,-14.158,-39.517,3.311,61.9391328719272,0.07182605,10.150817,-1.0079589,running
105,-14.158,-39.517,3.311,64.7344724374519,0.05267244,10.132261,-0.99538934,running
106,-14.158,-39.517,3.311,65.7098557893159,0.05327099,10.136452,-1.002572,running
107,-14.48,-39.517,3.311,39.7921109995738,0.023942016,10.127473,-1.0384849,running
108,-14.48,-39.517,3.311,40.6682761326979,0.009576807,10.123882,-1.0181342,running
109,-14.48,-39.517,3.311,43.0237620364506,-0.022146367,10.126276,-1.0115502,running
110,-14.48,-39.517,3.311,41.192579162814,-0.010175358,10.141838,-1.0253168,running
111,-14.48,-39.517,3.66,37.3499442950662,0.03172317,10.144233,-1.0271125,running
112,-14.48,-39.517,3.66,46.2328422878635,0.055066638,10.14543,-1.0348936,running
113,-14.48,-39.517,3.66,35.5465890198449,0.037708677,10.1226845,-1.0031705,running
114,-14.48,-39.517,3.66,52.4937980826598,0.04249708,10.121488,-0.9959879,running
115,-14.48,-39.517,3.66,49.8697874361754,0.04129998,10.1460285,-0.99419224,running
116,-14.48,-39.517,3.66,56.7111154893864,0.037708677,10.173561,-1.0319009,running
117,-14.48,-39.517,3.66,55.270696650197,0.019153614,10.132261,-1.0049661,running
118,-14.48,-39.517,3.66,55.2530318167551,-0.0077811554,10.134656,-1.0408791,running
119,-14.48,-39.517,3.66,51.1448691432288,-0.023942016,10.147225,-1.0181342,running
120,-14.48,-39.517,3.66,54.9742175879383,-0.059855044,10.201095,-1.0618285,running
121,-14.48,-39.517,3.66,57.6088950844915,-0.10115502,10.172963,-1.0402806,running
122,-14.48,-39.517,3.66,56.8295098813874,-0.10534488,10.128671,-1.0199299,running
123,-14.48,-39.517,3.66,54.1923305462065,-0.074220255,10.140641,-1.0462662,running
124,-14.48,-39.517,3.66,57.6675188867748,-0.10235212,10.163386,-1.0205284,running
125,-14.48,-39.517,3.66,58.8705806005506,-0.037110128,10.052056,-0.94570965,running
126,-14.48,-39.517,3.66,56.7138368593096,0.08379706,10.044873,-1.0121487,running
127,-14.48,-39.517,3.66,45.103781916597,0.1352724,10.115502,-1.0636241,running
128,-14.48,-39.517,3.66,53.6608992780132,0.10474633,10.147824,-1.0456676,running
129,-14.48,-39.517,3.66,44.3647267848617,0.046088383,10.133459,-0.95109665,running
130,-14.48,-39.517,3.66,40.636799579607,-0.047285482,10.13705,-0.95947635,running
131,-14.48,-39.517,3.66,55.2821030327775,-0.08798691,10.147225,-1.0247183,running
132,-14.48,-39.517,3.66,49.36182342187,-0.109534726,10.152014,-1.0534488,running
133,-14.48,-39.517,3.66,56.9801101406178,-0.13946225,10.120889,-1.0486604,running
134,-14.48,-39.517,3.66,49.98067480996,-0.11731588,10.083779,-1.0384849,running
135,-14.48,-39.517,3.66,62.0571412565071,-0.06464344,10.153211,-1.0307038,running
136,-14.48,-39.517,3.32,59.9858748829222,-0.014963761,10.147824,-0.9828198,running
137,-14.152,-39.517,3.32,38.5825160722773,0.05925649,10.093954,-0.95708215,running
138,-14.152,-39.517,3.32,54.1564431445336,0.08499416,10.104729,-0.99299514,running
139,-14.152,-39.517,3.32,61.7232194120449,0.05566519,10.1382475,-1.0247183,running
140,-14.152,-39.517,3.32,52.2986718796672,0.045489833,10.155605,-1.0283096,running
141,-14.152,-39.517,3.32,43.4378727196114,-0.023942016,10.151415,-1.0073603,running
142,-14.152,-39.517,3.32,41.4241333122892,-0.06284779,10.1382475,-1.0139444,running
143,-14.152,-39.517,3.32,37.7246754722476,-0.08140286,10.150817,-1.0295067,running
144,-14.152,-39.517,3.32,36.5560875458143,-0.06344634,10.136452,-1.0271125,running
145,-14.152,-39.517,3.32,51.799125065474,-0.047285482,10.122087,-1.0546459,running
146,-14.152,-39.517,3.32,55.9299603444729,-0.011971008,10.146626,-1.0384849,running
147,-14.152,-39.517,3.32,55.5461837841747,0.021547815,10.149619,-1.0319009,running
148,-14.152,-39.517,3.32,38.0305944192207,0.033518825,10.1460285,-1.0043676,running
149,-14.152,-39.517,3.32,57.6951342508711,0.019153614,10.149021,-1.0073603,running
150,-14.152,-39.517,3.32,44.0411008985898,0.03172317,10.1382475,-1.0031705,running
151,-14.152,-39.517,3.32,59.0207109878475,-0.007182605,10.147225,-1.0217255,running
152,-14.152,-39.517,3.32,40.1829847126467,-0.047285482,10.143036,-1.0283096,running
153,-14.152,-39.517,3.32,40.0564418005926,-0.065242,10.13286,-1.009156,running
154,-14.152,-39.517,3.32,53.9076250532848,-0.06703765,10.153211,-1.01574,running
155,-14.152,-39.517,3.32,63.8837365382904,-0.04070143,10.15381,-1.0049661,running
156,-14.152,-39.517,3.32,40.3158598041607,0.014963761,10.1161,-0.95588505,running
